id, date, sales, stock
1, 2024-05-01, 10, 990
1, 2024-05-02, 10, 990
1, 2024-05-03, 10, 990
1, 2024-05-04, 10, 990
1, 2024-05-05, 10, 990
1, 2024-05-06, 10, 990
1, 2024-05-07, 10, 990
1, 2024-05-08, 10, 990
1, 2024-05-09, 10, 990
1, 2024-05-10, 10, 990
1, 2024-05-11, 10, 990
1, 2024-05-12, 10, 990
1, 2024-05-13, 10, 990
1, 2024-05-14, 10, 990
1, 2024-05-15, 10, 990
1, 2024-05-16, 10, 990
1, 2024-05-17, 10, 990
1, 2024-05-18, 10, 990
1, 2024-05-19, 10, 990
1, 2024-05-20, 10, 990
1, 2024-05-21, 10, 990
1, 2024-05-22, 10, 990
1, 2024-05-23, 10, 990
1, 2024-05-24, 10, 990
1, 2024-05-25, 10, 990
1, 2024-05-26, 10, 990
1, 2024-05-27, 10, 990
1, 2024-05-28, 10, 990
1, 2024-05-29, 10, 990
1, 2024-05-30, 10, 990
2, 2024-05-01, 10, 980
2, 2024-05-02, 10, 980
2, 2024-05-03, 10, 980
2, 2024-05-04, 10, 980
2, 2024-05-05, 10, 980
2, 2024-05-06, 10, 980
2, 2024-05-07, 10, 980
2, 2024-05-08, 10, 980
2, 2024-05-09, 10, 980
2, 2024-05-10, 10, 980
2, 2024-05-11, 10, 980
2, 2024-05-12, 10, 980
2, 2024-05-13, 10, 980
2, 2024-05-14, 10, 980
2, 2024-05-15, 10, 980
2, 2024-05-16, 10, 980
2, 2024-05-17, 10, 980
2, 2024-05-18, 10, 980
2, 2024-05-19, 10, 980
2, 2024-05-20, 10, 980
2, 2024-05-21, 10, 980
2, 2024-05-22, 10, 980
2, 2024-05-23, 10, 980
2, 2024-05-24, 10, 980
2, 2024-05-25, 10, 980
2, 2024-05-26, 10, 980
2, 2024-05-27, 10, 980
2, 2024-05-28, 10, 980
2, 2024-05-29, 10, 980
2, 2024-05-30, 10, 980
3, 2024-05-01, 10, 970
3, 2024-05-02, 10, 970
3, 2024-05-03, 10, 970
3, 2024-05-04, 10, 970
3, 2024-05-05, 10, 970
3, 2024-05-06, 10, 970
3, 2024-05-07, 10, 970
3, 2024-05-08, 10, 970
3, 2024-05-09, 10, 970
3, 2024-05-10, 10, 970
3, 2024-05-11, 10, 970
3, 2024-05-12, 10, 970
3, 2024-05-13, 10, 970
3, 2024-05-14, 10, 970
3, 2024-05-15, 10, 970
3, 2024-05-16, 10, 970
3, 2024-05-17, 10, 970
3, 2024-05-18, 10, 970
3, 2024-05-19, 10, 970
3, 2024-05-20, 10, 970
3, 2024-05-21, 10, 970
3, 2024-05-22, 10, 970
3, 2024-05-23, 10, 970
3, 2024-05-24, 10, 970
3, 2024-05-25, 10, 970
3, 2024-05-26, 10, 970
3, 2024-05-27, 10, 970
3, 2024-05-28, 10, 970
3, 2024-05-29, 10, 970
3, 2024-05-30, 10, 970
4, 2024-05-01, 10, 960
4, 2024-05-02, 10, 960
4, 2024-05-03, 10, 960
4, 2024-05-04, 10, 960
4, 2024-05-05, 10, 960
4, 2024-05-06, 10, 960
4, 2024-05-07, 10, 960
4, 2024-05-08, 10, 960
4, 2024-05-09, 10, 960
4, 2024-05-10, 10, 960
4, 2024-05-11, 10, 960
4, 2024-05-12, 10, 960
4, 2024-05-13, 10, 960
4, 2024-05-14, 10, 960
4, 2024-05-15, 10, 960
4, 2024-05-16, 10, 960
4, 2024-05-17, 10, 960
4, 2024-05-18, 10, 960
4, 2024-05-19, 10, 960
4, 2024-05-20, 10, 960
4, 2024-05-21, 10, 960
4, 2024-05-22, 10, 960
4, 2024-05-23, 10, 960
4, 2024-05-24, 10, 960
4, 2024-05-25, 10, 960
4, 2024-05-26, 10, 960
4, 2024-05-27, 10, 960
4, 2024-05-28, 10, 960
4, 2024-05-29, 10, 960
4, 2024-05-30, 10, 960
5, 2024-05-01, 10, 950
5, 2024-05-02, 10, 950
5, 2024-05-03, 10, 950
5, 2024-05-04, 10, 950
5, 2024-05-05, 10, 950
5, 2024-05-06, 10, 950
5, 2024-05-07, 10, 950
5, 2024-05-08, 10, 950
5, 2024-05-09, 10, 950
